from,new_thread_prop,fwd_prop
0,0.7901234567901234,0.11764705882352941
1,0.6,0.5
2,0.6333619210977701,0.1695906432748538
3,0.0,0.0
4,0.7583892617449665,0.3055555555555556
5,0.5882352941176471,0.0
6,0.21554770318021202,0.7635135135135135
7,0.49489795918367346,0.31313131313131315
8,0.5589622641509434,0.20855614973262032
9,0.1623931623931624,0.19387755102040816
10,0.48148148148148145,0.35714285714285715
11,0.5879396984924623,0.34146341463414637
12,0.6088328075709779,0.5967741935483871
13,0.6574074074074074,0.40540540540540543
14,0.0,0.6666666666666666
15,0.26865671641791045,0.8367346938775511
16,0.208955223880597,0.33962264150943394
17,0.6225165562913907,0.3684210526315789
18,0.5390984360625575,0.2954091816367265
19,0.4681818181818182,0.2863247863247863
20,0.1694915254237288,0.445578231292517
21,0.2651162790697674,0.3037974683544304
22,0.45454545454545453,0.07142857142857142
23,0.19148936170212766,0.13157894736842105
24,0.5408163265306123,0.4666666666666667
25,0.353099730458221,0.05416666666666667
26,0.25,0.3333333333333333
27,0.6492890995260664,0.08108108108108109
28,0.5787037037037037,0.03296703296703297
29,0.49333333333333335,0.3684210526315789
30,0.41030927835051545,0.26573426573426573
31,0.6528250510551395,0.24509803921568626
32,0.7894736842105263,0.29411764705882354
33,0.634453781512605,0.034482758620689655
34,0.7062146892655368,0.011538461538461539
35,0.7496855345911949,0.19597989949748743
36,0.7477477477477478,0.21428571428571427
37,0.6430678466076696,0.4297520661157025
38,0.7202797202797203,0.375
39,0.5688888888888889,0.6185567010309279
40,0.6666666666666666,0.0
41,0.7741935483870968,0.38095238095238093
42,0.7780269058295964,0.36363636363636365
43,0.4230769230769231,0.24444444444444444
44,0.4444444444444444,0.6666666666666666
45,0.48,0.3153846153846154
46,0.8782608695652174,0.5
47,0.5739130434782609,0.40816326530612246
48,0.3932038834951456,0.128
49,0.7333333333333333,0.5
50,0.4883720930232558,0.45454545454545453
51,0.25,0.3333333333333333
52,0.8,0.0
53,0.21568627450980393,0.8375
